task,feature_family,graph_version,feature,importance
Job industry,STRUCTURAL,original,cat__community_global_6,0.001336604436409042
Job industry,STRUCTURAL,original,cat__community_global_0,0.0012792729748067383
Job industry,STRUCTURAL,original,cat__community_global_5,0.001162912789248676
Job industry,STRUCTURAL,original,cat__community_global_7,0.001105307907398981
Job industry,STRUCTURAL,original,num__is_isolate,0.0
Job industry,STRUCTURAL,original,num__bipartite_degree_centrality,0.0
Job industry,STRUCTURAL,original,num__degree,0.0
Job industry,STRUCTURAL,enriched,num__pagerank,0.8336663522665847
Job industry,STRUCTURAL,enriched,num__degree,0.04935442133603879
Job industry,STRUCTURAL,enriched,num__bipartite_degree_centrality,0.04866635098129042
Job industry,STRUCTURAL,enriched,num__community_size,0.016258891666190045
Job industry,STRUCTURAL,enriched,num__component_size,0.014806357643461209
Job industry,STRUCTURAL,enriched,cat__community_global_1,0.005825948762331548
Job industry,STRUCTURAL,enriched,cat__community_global_3,0.005205629244120785
Job industry,STRUCTURAL,enriched,cat__community_global_6,0.004805986410077611
Job industry,STRUCTURAL,enriched,cat__community_global_4,0.004757862145775906
Job industry,STRUCTURAL,enriched,cat__community_global_5,0.004413304042558908
Job industry,STRUCTURAL,enriched,cat__community_global_2,0.004317141366134557
Job industry,STRUCTURAL,enriched,cat__community_global_7,0.004018940843645442
Job industry,STRUCTURAL,enriched,cat__community_global_0,0.0039028132917902567
Job industry,STRUCTURAL,enriched,num__is_isolate,0.0
