task,method,feature_family,graph_version,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_macro,recall_macro
Job seniority,Random Forest,STRUCTURAL,enriched,test,0.30133333333333334,0.3020771865984789,0.30026095629666594,0.2998061667012372,0.3005651034727773,0.3020771865984789
Job seniority,Dummy,SEMANTIC,invariant,validation,0.344,0.3333333333333333,0.1706349206349206,0.17609523809523808,0.11466666666666665,0.3333333333333333
Job seniority,Logistic Regression,SEMANTIC,invariant,validation,0.32,0.31965715005987266,0.31947950819672133,0.3198678360655738,0.31938569662263294,0.31965715005987266
Job seniority,Random Forest,SEMANTIC,invariant,validation,0.2986666666666667,0.29785088548559907,0.2971810048081235,0.29756896587405063,0.298678682198579,0.29785088548559907
Job seniority,Logistic Regression,SEMANTIC,invariant,test,0.31466666666666665,0.31380925452399683,0.3127619165582874,0.31343002828182737,0.3124511082138201,0.31380925452399683
Job seniority,Dummy,ALL_SAFE,original,validation,0.344,0.3333333333333333,0.1706349206349206,0.17609523809523808,0.11466666666666665,0.3333333333333333
Job seniority,Logistic Regression,ALL_SAFE,original,validation,0.30933333333333335,0.3095733282914224,0.3095883339785779,0.30946031746031744,0.3098254238356337,0.3095733282914224
Job seniority,Random Forest,ALL_SAFE,original,validation,0.3253333333333333,0.32482510871620346,0.32466580196334327,0.32484341190565236,0.3259491466388018,0.32482510871620346
Job seniority,Random Forest,ALL_SAFE,original,test,0.336,0.33580705262697785,0.3351037762657702,0.3352058292718236,0.3362407994001438,0.33580705262697785
Job seniority,Dummy,ALL_SAFE,enriched,validation,0.344,0.3333333333333333,0.1706349206349206,0.17609523809523808,0.11466666666666665,0.3333333333333333
Job seniority,Logistic Regression,ALL_SAFE,enriched,validation,0.312,0.3119052120753765,0.31203054227498755,0.3121431119643465,0.3122017660369933,0.3119052120753765
Job seniority,Random Forest,ALL_SAFE,enriched,validation,0.31466666666666665,0.31398500031511944,0.31334024397759513,0.31352821350151544,0.3162887717343163,0.31398500031511944
Job seniority,Random Forest,ALL_SAFE,enriched,test,0.344,0.3437691231751027,0.3420252651489563,0.34224071697178504,0.3432239283200305,0.3437691231751027
Job industry,Dummy,STRUCTURAL,original,validation,0.11466666666666667,0.1,0.020574162679425835,0.02359170653907496,0.011466666666666667,0.1
Job industry,Logistic Regression,STRUCTURAL,original,validation,0.08266666666666667,0.0828133423721659,0.08055959076463208,0.08071164315352329,0.08483621931282677,0.0828133423721659
Job industry,Random Forest,STRUCTURAL,original,validation,0.10666666666666667,0.10577690318456393,0.10474219781235514,0.10566685629628773,0.10439851936101933,0.10577690318456393
Job industry,Random Forest,STRUCTURAL,original,test,0.064,0.06380526513955495,0.06340586019396616,0.06362494609602579,0.06352849047971,0.06380526513955495
Job industry,Dummy,STRUCTURAL,enriched,validation,0.11466666666666667,0.1,0.020574162679425835,0.02359170653907496,0.011466666666666667,0.1
Job industry,Logistic Regression,STRUCTURAL,enriched,validation,0.10666666666666667,0.10815461565461564,0.09977945802172124,0.0989998979335302,0.10195249503546597,0.10815461565461564
Job industry,Random Forest,STRUCTURAL,enriched,validation,0.104,0.1063105733693969,0.10540855932424176,0.1032940036860594,0.10509816684593047,0.1063105733693969
Job industry,Random Forest,STRUCTURAL,enriched,test,0.13333333333333333,0.1360276974695913,0.13171413815034472,0.13026472830162802,0.1312667443430003,0.1360276974695913
Job industry,Dummy,SEMANTIC,invariant,validation,0.11466666666666667,0.1,0.020574162679425835,0.02359170653907496,0.011466666666666667,0.1
Job industry,Logistic Regression,SEMANTIC,invariant,validation,1.0,1.0,1.0,1.0,1.0,1.0
Job industry,Random Forest,SEMANTIC,invariant,validation,0.984,0.9829033579033579,0.9829033579033579,0.984,0.9829033579033579,0.9829033579033579
Job industry,Logistic Regression,SEMANTIC,invariant,test,1.0,1.0,1.0,1.0,1.0,1.0
Job industry,Dummy,ALL_SAFE,original,validation,0.11466666666666667,0.1,0.020574162679425835,0.02359170653907496,0.011466666666666667,0.1
Job industry,Logistic Regression,ALL_SAFE,original,validation,1.0,1.0,1.0,1.0,1.0,1.0
Job industry,Random Forest,ALL_SAFE,original,validation,0.9786666666666667,0.9770952770952771,0.9770952770952771,0.9786666666666667,0.9770952770952771,0.9770952770952771
Job industry,Logistic Regression,ALL_SAFE,original,test,1.0,1.0,1.0,1.0,1.0,1.0
